current_age,per_capita_income,yearly_income,total_debt,credit_score,num_credit_cards,amount,use_chip,debt_to_income,default_risk,gender_Female,gender_Male,gender_Other
64,86125,1033501,280435,715,5,1483.94,Yes,0.27134468181453136,0,1,0,0
39,68414,820965,0,834,3,1274.72,Yes,0.0,0,1,0,0
50,22595,271138,0,609,2,7622.04,No,0.0,0,1,0,0
27,24158,289898,0,782,3,3970.48,Yes,0.0,0,0,1,0
45,45475,545697,117821,608,2,418.45,No,0.21590919502947606,0,0,0,1
23,57403,688831,207894,652,5,5533.61,Yes,0.3018069744247863,0,1,0,0
20,37412,448940,0,724,2,1840.93,Yes,0.0,0,0,1,0
32,48926,587118,31674,684,2,5168.03,Yes,0.05394826934278969,0,0,1,0
70,26481,317771,0,800,3,3343.6,No,0.0,0,1,0,0
65,28077,336928,30790,728,1,3297.57,No,0.09138450945009023,0,1,0,0
58,52759,633104,355912,776,3,1134.84,Yes,0.5621698804619778,0,1,0,0
61,23416,280996,0,587,2,7853.14,Yes,0.0,0,1,0,0
35,25100,301197,0,683,3,2058.42,No,0.0,0,0,1,0
37,35610,427323,0,748,2,4071.47,Yes,0.0,0,0,1,0
43,38010,456121,75915,718,1,1485.92,Yes,0.1664360991929773,0,1,0,0
29,49587,595041,177427,662,1,3004.32,Yes,0.2981760920676054,0,1,0,0
37,56950,683403,305183,678,4,1593.85,Yes,0.4465637405747414,0,1,0,0
62,18767,225201,0,857,1,3389.49,Yes,0.0,0,1,0,0
59,20182,242183,18715,739,1,2793.02,No,0.07727627455271427,0,0,1,0
36,55969,671623,0,657,3,5801.67,No,0.0,0,0,0,1
23,45785,549422,80600,847,2,1535.76,No,0.14669962251238575,0,0,1,0
33,53469,641626,161472,782,4,2356.85,Yes,0.25166062472530726,0,0,1,0
23,47096,565155,0,641,1,922.46,No,0.0,0,1,0,0
47,100927,1211127,145002,812,5,2851.15,Yes,0.1197248513161708,0,0,1,0
23,52260,627122,133684,659,5,2189.96,Yes,0.2131706430327751,0,0,1,0
27,71029,852353,449362,601,3,3920.72,Yes,0.5272017579570906,0,0,1,0
40,54664,655964,107666,640,4,2925.0,Yes,0.1641340073540621,0,1,0,0
33,69372,832468,184888,620,4,2124.58,No,0.222096224719749,0,1,0,0
19,31993,383912,105126,642,3,1989.36,Yes,0.2738283773364729,0,0,1,0
51,23250,278999,0,762,2,1038.73,Yes,0.0,0,1,0,0
31,74588,895055,0,736,4,558.32,Yes,0.0,0,0,1,0
19,149753,1797040,668545,575,3,1487.16,Yes,0.37202566442594487,0,0,1,0
